Journey,Screen / Page,Route,UI Element Type,Translation Key,Current Arabic,Current English,File Path,Line Number,Character or Space Constraint,Variables / Interpolation,Notes
1. Public website,Landing page,/,Text,landing.brand,بيد,Bid,client/src/lib/i18n.tsx,2673,,,
1. Public website,Landing page,/,Helper text,landing.browseDesc,استكشف منافسات موثّقة من شركات سعودية في قطاعات الإنشاءات وتقنية المعلومات واللوجستيات والمزيد — مفتوحة لاستقبال العروض الآن.,"Explore verified tenders from Saudi companies across construction, IT, logistics, and more — open for proposals right now.",client/src/lib/i18n.tsx,2697,,,
1. Public website,Landing page,/,Text,landing.browseMarketplace,تصفّح السوق,Browse the Marketplace,client/src/lib/i18n.tsx,2698,,,
1. Public website,Landing page,/,Heading / title,landing.browseTitle,تصفّح فرص التوريد المباشرة,Browse live procurement opportunities,client/src/lib/i18n.tsx,2696,One line preferred,,
1. Public website,Landing page,/,Helper text,landing.buyersDesc,الشركات والمؤسسات الكبرى التي تنشئ طلبات العروض وتدير الموردين وترسي المشاريع بكفاءة.,"Major companies and organizations creating RFPs, managing vendors, and awarding projects efficiently.",client/src/lib/i18n.tsx,2694,,,
1. Public website,Landing page,/,Heading / title,landing.buyersTitle,المشترون,Buyers,client/src/lib/i18n.tsx,2693,One line preferred,,
1. Public website,Landing page,/,Text,landing.footerContact,تواصل معنا,Contact,client/src/lib/i18n.tsx,2700,,,
1. Public website,Landing page,/,Text,landing.footerHowItWorks,كيف تعمل,How it Works,client/src/lib/i18n.tsx,2699,,,
1. Public website,Landing page,/,Heading / title,landing.heroSubtitle,أنشئ طلبات العروض، واستقبل المقترحات، وقارن بين الموردين، وارسِ المشاريع من منصة واحدة.,"Create RFPs, receive proposals, compare vendors, and award projects in one platform.",client/src/lib/i18n.tsx,2678,One line preferred,,
1. Public website,Landing page,/,Heading / title,landing.heroTitle,بيد — إعادة تعريف التوريد.,Bid — Sourcing Redefined.,client/src/lib/i18n.tsx,2677,One line preferred,,
1. Public website,Landing page,/,Text,landing.howItWorks,كيف تعمل,How it works,client/src/lib/i18n.tsx,2680,,,
1. Public website,Landing page,/,Text,landing.logIn,تسجيل الدخول,Log in,client/src/lib/i18n.tsx,2675,,,
1. Public website,Landing page,/,Text,landing.marketplace,السوق,Marketplace,client/src/lib/i18n.tsx,2674,,,
1. Public website,Landing page,/,Helper text,landing.platformDesc,تربط بيد المشترين والموردين في منصة واحدة — تمكّن الشركات من نشر فرص التوريد والمنشآت الصغيرة والمتوسطة من اكتشافها وتقديم عروضها إلكترونيًا.,Bid connects buyers and suppliers on one platform — enabling companies to publish procurement opportunities and SMEs to discover and bid on them electronically.,client/src/lib/i18n.tsx,2689,,,
1. Public website,Landing page,/,Heading / title,landing.platformHeading,كيف تعمل منصة بيد؟,How does Bid work?,client/src/lib/i18n.tsx,2688,One line preferred,,
1. Public website,Landing page,/,Form label,landing.platformLabel,المنصة,The Platform,client/src/lib/i18n.tsx,2687,,,
1. Public website,Landing page,/,Text,landing.signUp,إنشاء حساب,Sign up,client/src/lib/i18n.tsx,2676,,,
1. Public website,Landing page,/,Text,landing.startBuying,ابدأ الشراء,Start Buying,client/src/lib/i18n.tsx,2695,,,
1. Public website,Landing page,/,Text,landing.startSelling,ابدأ البيع,Start Selling,client/src/lib/i18n.tsx,2692,,,
1. Public website,Landing page,/,Helper text,landing.step1Desc,حدّد النطاق والمخرجات والجدول الزمني.,"Define scope, deliverables, and timeline.",client/src/lib/i18n.tsx,2682,,,
1. Public website,Landing page,/,Heading / title,landing.step1Title,أنشئ طلب عرض,Create RFP,client/src/lib/i18n.tsx,2681,One line preferred,,
1. Public website,Landing page,/,Helper text,landing.step2Desc,يقدّم الموردون عروضًا منظمة.,Vendors submit structured proposals.,client/src/lib/i18n.tsx,2684,,,
1. Public website,Landing page,/,Heading / title,landing.step2Title,استقبل العروض,Receive Proposals,client/src/lib/i18n.tsx,2683,One line preferred,,
1. Public website,Landing page,/,Helper text,landing.step3Desc,راجع وقارن واختر أفضل عرض.,"Review, compare, and select the best offer.",client/src/lib/i18n.tsx,2686,,,
1. Public website,Landing page,/,Heading / title,landing.step3Title,قارن وارسِ,Compare & Award,client/src/lib/i18n.tsx,2685,One line preferred,,
1. Public website,Landing page,/,Helper text,landing.suppliersDesc,المنشآت الصغيرة والمتوسطة التي تبحث عن فرص جديدة وتقديم عروض تنافسية.,Small and medium enterprises looking to discover opportunities and submit competitive proposals.,client/src/lib/i18n.tsx,2691,,,
1. Public website,Landing page,/,Heading / title,landing.suppliersTitle,الموردون,Suppliers,client/src/lib/i18n.tsx,2690,One line preferred,,
1. Public website,Landing page,/,Text,landing.tryBid,جرّب بيد,Try Bid,client/src/lib/i18n.tsx,2679,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.availabilityAccepting,متاح لمشاريع جديدة,Accepting new projects,client/src/lib/i18n.tsx,3461,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.availabilityBooked,محجوز حالياً,Currently booked,client/src/lib/i18n.tsx,3463,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.availabilityLimited,طاقة استيعابية محدودة,Limited capacity,client/src/lib/i18n.tsx,3462,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.badgeNotVerified,غير موثّق,Not Verified,client/src/lib/i18n.tsx,3453,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.badgeUnderReview,قيد المراجعة,Under Review,client/src/lib/i18n.tsx,3452,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.badgeVerified,موثّق,Verified,client/src/lib/i18n.tsx,3451,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.certDocument,المستند,Document,client/src/lib/i18n.tsx,3485,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.certIssuedBy,صادر من {issuer},Issued by {issuer},client/src/lib/i18n.tsx,3483,,{issuer},
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.certValidUntil,· صالح حتى {date},· Valid until {date},client/src/lib/i18n.tsx,3484,,{date},
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.closeTab,إغلاق هذه النافذة,Close this tab,client/src/lib/i18n.tsx,3456,,,
"12. Account, notifications & settings",Company profile,/company/*,Form label,companyProfile.factsCategoryLabel,الفئة,Category,client/src/lib/i18n.tsx,3467,,,
"12. Account, notifications & settings",Company profile,/company/*,Form label,companyProfile.factsFoundedLabel,التأسيس,Founded,client/src/lib/i18n.tsx,3464,,,
"12. Account, notifications & settings",Company profile,/company/*,Form label,companyProfile.factsHqLabel,المقر الرئيسي,Headquarters,client/src/lib/i18n.tsx,3466,,,
"12. Account, notifications & settings",Company profile,/company/*,Form label,companyProfile.factsTeamLabel,الفريق,Team,client/src/lib/i18n.tsx,3465,,,
